time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2023-06-24 15:31:22.926 UTC, , , , , , , , , ,125,3174309,28456, , ,6, ,75,6,0.08, , , , , , , ,6,6, ,15, ,2,4,7, ,63,17, , , , , , , , , , , , , ,45216,5,44068,44068,1,1,3,7,45266,365491027968,27,27,27,27, , , , , ,6,125, , , , , , , , , , , , , , , , , , , , , , , , , ,45266,1687620682785,,, , , , , , , , , ,3145728,45216,7,7,3,7, , ,31,1,1,4,1, ,3,2, ,31, ,2048,1, , , , , ,199883,54,1268,1, , , , , , ,7,19,41348304,2, , , , , , ,58, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-06-24 15:32:22.939 UTC, , , , , , , , , ,125,3189493,42968,672, ,7, ,18,1,0.06, , , , , , , ,7,7, , , ,2,4,8, ,17,9, , , , , , , , , , , , , ,45216,5,44068,44068, , , , ,45266,365489795072,27,27,27,27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,45266,1687620682785,,, , , , , , , , , ,3145728,45216, , , , , , ,11, , ,1, , ,3, , ,11,1, , , , , , , ,15935,12, , , , , , , , , , ,49736912,4, , , , , , ,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , ,3, , , , 
2023-06-24 15:33:22.951 UTC, , , , , , , , , ,125,3189493,42968,672, ,7, , , , , , , , , , , ,7,7, , , ,2,4,8, , , , , , , , , , , , , , , , ,45216,5,44068,44068, , , , ,45266,365490425856,27,27,27,27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,45266,1687620682785,,, , , , , , , , , ,3145728,45216, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,58125520,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , 
2023-06-24 15:34:22.966 UTC, , , , , , , , , ,125,3189493,42968,672, ,7, , , , , , , , , , , ,7,7, , , ,2,4,8, , , , , , , , , , , , , , , , ,45216,5,44068,44068, , , , ,45266,365489324032,27,27,27,27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,45266,1687620682785,,, , , , , , , , , ,3145728,45216, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,58125520,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , 
2023-06-24 15:35:22.975 UTC, , , , , , , , , ,125,3189493,42968,672, ,7, , , , , , , , , , , ,7,7, , , ,2,4,8, , , , , , , , , , , , , , , , ,45216,5,44068,44068, , , , ,45266,365485977600,27,27,27,27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,45266,1687620682785,,, , , , , , , , , ,3145728,45216, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,62319824,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5, , , , 
2023-06-24 15:35:39.076 UTC, , , , , , , , , ,125,3164229,18376, , ,3,1,36,3,0.08, , , , , , , ,3,3, ,2,1,2,1,4, ,38,18, , , , , , , , , , , , , ,45216,5, ,44068, , , , ,45266,365482602496,27,27,27,27, , , , , ,6,138, , , , , , , , , , , , , , , , , , , , , , , , , ,45266,1687620938962,,, , , , , , , , , ,3145728,45216, , , , , , ,27, , ,2, , ,3, , ,27, ,2048,1, , , , , ,185647,48, , , , , , , , ,7,20,40275112,5, , , , , , ,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-06-24 15:36:39.085 UTC, , , , , , , , , ,125,3182397,35872,672, ,5, ,18,2,0.11, , , , , , , ,5,5, , , ,2,2,6, ,17,9, , , , , , , , , , , , , ,45216,5, ,44068, , , , ,45266,365480972288,27,27,27,27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,45266,1687620938962,,, , , , , , , , , ,3145728,45216, , , , , , ,13, , ,1, , ,3, , ,13,1, , , , , , , ,20031,14, , , , , , , , , , ,52858024,6, , , , , , ,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , ,3, , , , 
2023-06-24 15:37:39.101 UTC, , , , , , , , , ,125,3182397,35872,672, ,5, , , , , , , , , , , ,5,5, , , ,2,2,6, , , , , , , , , , , , , , , , ,45216,5, ,44068, , , , ,45266,365482876928,27,27,27,27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,45266,1687620938962,,, , , , , , , , , ,3145728,45216, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,52858024,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , 
2023-06-24 15:42:02.006 UTC, , , , , , , , , ,125,3164229,18376, , ,3,1,36,3,0.08, , , , , , , ,3,3, ,2,1,2,1,4, ,38,18, , , , , , , , , , , , , ,45216,5, ,44068, , , , , , ,-1,-1,-1,-1, , , , , ,6,138, , , , , , , , , , , , , , , , , , , , , , , , , , ,1687621321883,,, , , , , , , , , ,3145728,45216, , , , , , ,27, , ,2, , ,3, , ,27, ,2048,1, , , , , ,185647,48, , , , , , , , ,8,20,40921624,4, , , , , , ,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-06-24 15:42:39.009 UTC, , , , , , , , , ,125,3164229,18376, , ,3,1,36,3,0.08, , , , , , , ,3,3, ,2,1,2,1,4, ,38,18, , , , , , , , , , , , , ,45216,5, ,44068, , , , ,45266,365495787520,27,27,27,27, , , , , ,6,138, , , , , , , , , , , , , , , , , , , , , , , , , ,45266,1687621358885,,, , , , , , , , , ,3145728,45216, , , , , , ,27, , ,2, , ,3, , ,27, ,2048,1, , , , , ,185647,48, , , , , , , , ,6,19,37905552,4, , , , , , ,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
