time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2023-06-26 06:24:24.015 UTC, , , , , , , , , ,589,3189917,42928,672, ,7, ,26, , , , , , , , , ,7,7, , , , ,3,9, ,8, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,43382,364607082496,27,27,27,27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,43382,1687760063764,,, , , , , , , , , ,3145728,43660,16,16,7,16, , , ,4,4, ,4, ,3,7, , , , , , , , , , , , ,612,4, , , , , , , , ,67706040,5, , , , , , ,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , ,2,2, ,2,2, ,2,6, , , , 
2023-06-26 06:41:14.455 UTC, , , , , , , , , ,589,3189917,42928,672, ,7, ,48, , , , , , , , , ,7,7, , , , ,3,9, ,14, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,44300,365689913344,26,26,26,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,44300,1687760063764,,, , , , , , , , , ,3145728,44884,29,29,8,29, , , ,8,8, ,8, ,3,13, , , , , , , , , , , , ,1224,8, , , , , , , , ,69803192,4, , , , , , ,52, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,4, , ,4,4, ,4,4, ,4,8, , , , 
2023-06-26 06:43:56.705 UTC, , , , , , , , , ,589,3189917,42928,672, ,7, ,26, , , , , , , , , ,7,7, , , , ,3,9, ,8, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,45524,365638283264,25,25,25,25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,45524,1687760063764,,, , , , , , , , , ,3145728,45496,11,11,7,11, , , ,4,4, ,4, ,3,7, , , , , , , , , , , , ,612,4, , , , , , , , ,69803192,9, , , , , , ,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , ,2,2, ,2,2, ,2,6, , , , 
2023-06-26 07:46:44.007 UTC, , , , , , , , , ,589,3189917,42928,672, ,7, ,105, , , , , , , , , ,7,7, , , , ,3,9, ,30, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,45830,365638508544,25,25,25,25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,45830,1687760063764,,, , , , , , , , , ,3145728,48250,18,20,7,20, , , ,18,18, ,18, ,3,23, , , , , , , , , , , , ,2754,18, , , , , , , , ,71900344,14, , , , , , ,117, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9, ,9, , ,9,9, ,9,9, ,9,13, , , , 
2023-06-26 07:50:50.954 UTC, , , , , , , , , ,589,3189917,42928,672, ,7, ,39, , , , , , , , , ,7,7, , , , ,3,9, ,12, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,49196,364619390976,23,23,23,23, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,49196,1687760063764,,, , , , , , , , , ,3145728,49168,18,18,8,18, , , ,6,6, ,6, ,3,10, , , , , , , , , , , , ,918,6, , , , , , , , ,73997496,14, , , , , , ,39, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,3, , ,3,3, ,3,3, ,3,7, , , , 
2023-06-26 07:51:50.961 UTC, , , , , , , , , ,589,3189917,42928,672, ,7, ,26, , , , , , , , , ,7,7, , , , ,3,9, ,8, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,49808,364618248192,23,23,23,23, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,49808,1687760063764,,, , , , , , , , , ,3145728,49780,14,14,8,14, , , ,4,4, ,4, ,3,7, , , , , , , , , , , , ,612,4, , , , , , , , ,73997496,11, , , , , , ,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , ,2,2, ,2,2, ,2,6, , , , 
2023-06-26 07:52:50.988 UTC, , , , , , , , , ,589,3189917,42928,672, ,7, ,26, , , , , , , , , ,7,7, , , , ,3,9, ,8, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,50420,364609671168,23,23,23,23, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,50420,1687760063764,,, , , , , , , , , ,3145728,50392,10,10,6,10, , , ,4,4, ,4, ,3,7, , , , , , , , , , , , ,612,4, , , , , , , , ,76094648,23, , , , , , ,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , ,2,2, ,2,2, ,2,6, , , , 
2023-06-26 07:53:51.002 UTC, , , , , , , , , ,589,3189917,42928,672, ,7, ,26, , , , , , , , , ,7,7, , , , ,3,9, ,8, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,51032,364614868992,23,23,23,23, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,51032,1687760063764,,, , , , , , , , , ,3145728,51004,9,9,6,9, , , ,4,4, ,4, ,3,7, , , , , , , , , , , , ,612,4, , , , , , , , ,76094648,13, , , , , , ,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , ,2,2, ,2,2, ,2,6, , , , 
2023-06-26 07:54:51.008 UTC, , , , , , , , , ,589,3189917,42928,672, ,7, ,26, , , , , , , , , ,7,7, , , , ,3,9, ,8, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,51644,364615098368,22,22,22,22, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,51644,1687760063764,,, , , , , , , , , ,3145728,51616,28,28,9,28, , , ,4,4, ,4, ,3,7, , , , , , , , , , , , ,612,4, , , , , , , , ,78191800,8, , , , , , ,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , ,2,2, ,2,2, ,2,6, , , , 
2023-06-26 07:55:51.018 UTC, , , , , , , , , ,589,3189917,42928,672, ,7, ,26, , , , , , , , , ,7,7, , , , ,3,9, ,8, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,51950,364618919936,22,22,22,22, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,51950,1687760063764,,, , , , , , , , , ,3145728,52228,7,7,6,7, , , ,4,4, ,4, ,3,7, , , , , , , , , , , , ,612,4, , , , , , , , ,78191800,10, , , , , , ,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , ,2,2, ,2,2, ,2,6, , , , 
